Movie	Release_date	Language	Runtime	Budget	Revenue
I Spit on Your Grave 2	September 24, 2013	 English	1h 46m		$809.00
Belle and Sebastian	December 18, 2013	 French	1h 44m		
Out of the Furnace	December  6, 2013	 English	1h 56m	$22,000,000.00	$15,400,000.00
Paranoia	August 16, 2013	 English	1h 46m	$35,000,000.00	$13,785,015.00
Blood Ties	March 21, 2014	 English	2h 8m	$25,500,000.00	$2,415,472.00
V/H/S/2	January 19, 2013	 English	1h 35m		$21,833.00
Belle	May  1, 2014	 English	1h 45m	$10,900,000.00	$16,505,460.00
Journey to the West: Conquering the Demons	March  7, 2014	 Chinese	1h 50m		
Police Story 2013	December 24, 2013	 Chinese	1h 48m		$81,170,000.00
Identity Thief	February  9, 2013	 English	1h 51m	$35,000,000.00	$173,965,010.00
Identity Thief	February  9, 2013	 English	1h 51m	$35,000,000.00	$173,965,010.00
Mud	May 10, 2013	 English	2h 10m	$10,000,000.00	$21,587,700.00
The Kings of Summer	January 19, 2013	 English	1h 33m		
Free Birds	November  1, 2013	 English	1h 31m	$55,000,000.00	$110,000,000.00
The Canyons	July 29, 2013	 English	1h 39m	$250,000.00	$56,825.00
Grown Ups 2	July 12, 2013	 English	1h 40m	$80,000,000.00	$246,984,278.00
The Great Beauty	November 15, 2013	 Italian	2h 22m	$12,400,000.00	$24,164,400.00
Jackass Presents: Bad Grandpa	October 25, 2013	 English	1h 32m	$15,000,000.00	$151,831,537.00
A Haunted House	January 11, 2013	 English	1h 26m	$2,500,000.00	$60,141,683.00
Begin Again	July 11, 2014	 English	1h 44m	$8,000,000.00	$63,464,861.00
Lupin the Third vs. Detective Conan: The Movie	October 27, 2015	 Japanese	1h 46m		
How I Live Now	November  8, 2013	 English	1h 41m		
Chinese Puzzle	May 16, 2014	 French	1h 57m		
Runner Runner	October  2, 2013	 English	1h 31m	$30,000,000.00	$62,616,646.00
Blue Jasmine	July 22, 2013	 English	1h 38m	$18,000,000.00	$99,206,215.00
Breathe In	January 19, 2013	 English	1h 38m		$89,661.00
Ruby Red	April  4, 2013	 German	2h 2m		
Last Vegas	November  1, 2013	 English	1h 45m	$28,000,000.00	$134,402,450.00
Odd Thomas	April  6, 2013	 English	1h 40m	$27,000,000.00	
The Smurfs 2	July 31, 2013	 English	1h 45m	$105,000,000.00	$347,434,178.00
Dark Skies	February 22, 2013	 English	1h 37m	$3,500,000.00	$25,174,316.00
Dark Skies	February 22, 2013	 English	1h 37m	$3,500,000.00	$25,174,316.00
Closed Circuit	August 28, 2013	 English	1h 36m		$5,750,401.00
The Way Way Back	January 21, 2013	 English	1h 43m	$4,600,000.00	$23,198,652.00
Diana	November  1, 2013	 English	1h 53m	$15,000,000.00	$21,766,271.00
Vehicle 19	June 14, 2013	 English	1h 25m		
Nurse 3-D	February  7, 2014	 English	1h 39m	$10.00	$10,000,000.00
The Call	March 14, 2013	 English	1h 34m	$13,000,000.00	$68,572,378.00
Turning Tide	November  5, 2013	 French	1h 37m		
Jobs	August 16, 2013	 English	2h 8m	$12,000,000.00	$35,931,410.00
Planes	August  9, 2013	 English	1h 31m	$50,000,000.00	$219,788,712.00
The Book Thief	October  3, 2013	 English	2h 11m		$76,586,316.00
The To Do List	July 26, 2013	 English	1h 44m	$1,500,000.00	$3,566,225.00
The Family	September 13, 2013	 English	1h 51m	$30,000,000.00	$36,894,225.00
I'm So Excited!	June 28, 2013	 Castilian	1h 30m	$5,000,000.00	$11,724,119.00
The Butler	August 16, 2013	 English	2h 12m	$25,000,000.00	$115,922,175.00
Movie 43	January 25, 2013	 English	1h 30m	$6,000,000.00	$32,438,988.00
The English Teacher	May 16, 2013	 English	1h 31m		$104,810.00
Lovelace	August  9, 2013	 English	1h 32m	$10,000,000.00	$1,585,582.00
Venus in Fur	June  6, 2014	 French	1h 36m		$342,183.00
Sharknado	July 11, 2013	 English	1h 26m	$1,000,000.00	
42	April 12, 2013	 English	2h 8m	$40,000,000.00	$95,020,213.00
42	April 12, 2013	 English	2h 8m	$40,000,000.00	$95,020,213.00
Trance	April  5, 2013	 English	1h 41m	$20,000,000.00	$24,261,569.00
The 100 Year-Old Man Who Climbed Out the Window and Disappeared	May 28, 2014	 Swedish	1h 54m	$9,250,000.00	
Battle of the Year	September 21, 2013	 English	1h 50m	$20,000,000.00	$16,549,477.00
Saving Mr. Banks	December 20, 2013	 English	2h 5m	$35,000,000.00	$112,544,580.00
The Counselor	October 25, 2013	 English	1h 57m	$25,000,000.00	$71,009,334.00
Inside Llewyn Davis	September 28, 2013	 English	1h 45m	$11,000,000.00	$32,935,319.00
Space Pirate Captain Harlock	August  1, 2014	 Japanese	1h 55m	$30,000,000.00	$17,137,302.00
A Field in England	February  7, 2014	 English	1h 30m		$32,846.00
Frances Ha	September  1, 2012	 English	1h 26m		$4,069,826.00
The Best Man Holiday	November 15, 2013	 English	2h 3m	$17,000,000.00	$71,625,195.00
The Dyatlov Pass Incident	August 23, 2013	 English	1h 40m		
Knights of Badassdom	January 21, 2014	 English	1h 26m		
21 & Over	March  1, 2013	 English	1h 33m	$13,000,000.00	$48,065,672.00
Parkland	October  4, 2013	 English	1h 34m	$10,000,000.00	$653,651.00
Marvel One-Shot: Agent Carter	September 23, 2013	 English	0h 15m		
Escape from Planet Earth	February 14, 2013	 English	1h 29m	$40,000,000.00	$74,597,643.00
Nebraska	November 15, 2013	 English	1h 55m	$12,000,000.00	$17,654,912.00
The Machine	April 25, 2013	 English	1h 32m	$1,500,000.00	$314,131.00
The Incredible Burt Wonderstone	March 15, 2013	 English	1h 40m	$30,000,000.00	$27,437,881.00
Killing Season	July 12, 2013	 English	1h 31m		$39,881.00
Killing Season	July 12, 2013	 English	1h 31m		$39,881.00
Kill Your Darlings	January 18, 2013	 English	1h 44m	$1,030,064.00	
Jack the Giant Slayer	March  1, 2013	 English	1h 54m	$195,000,000.00	$197,687,603.00
Sole a catinelle	October 31, 2013	 Italian	1h 27m		
The Art of the Steal	October  1, 2013	 English	1h 30m		$64,065.00
Mandela: Long Walk to Freedom	December 25, 2013	 English	2h 21m	$35,000,000.00	$27,330,000.00
The Sacrament	May  1, 2014	 English	1h 39m	$4,000,000.00	$9,221.00
The Den	March 14, 2014	 English	1h 21m		
Enough Said	September 18, 2013	 English	1h 33m		$25,288,872.00
Labor Day	December 27, 2013	 French	1h 51m	$18,000,000.00	$20,275,812.00
Syrup	June  7, 2013	 English	1h 30m	$6,000,000.00	
This Youth Is Crazy	May 31, 2013	 Hindi	2h 40m	$7,700,000.00	$46,000,000.00
Devil's Knot	May  9, 2013	 English	1h 54m	$15,000,000.00	
The Last Exorcism Part II	March  1, 2013	 English	1h 28m	$5,000,000.00	$15,179,302.00
Stay Away from Me	November 14, 2013	 Italian			
K-9 Adventures: A Christmas Tale	November  5, 2013	 English	1h 29m		
Adult World	April 18, 2013	 English	1h 47m		
The Past	December 19, 2013	 French	2h 10m	$11,000,000.00	$10,631,747.00
Philomena	November 27, 2013	 English	1h 38m	$12,000,000.00	$100,129,872.00
Only Lovers Left Alive	April 11, 2014	 English	2h 3m	$7,000,000.00	
Machete Kills	October 11, 2013	 English	1h 47m	$12,000,000.00	$15,008,161.00
Machete Kills	October 11, 2013	 English	1h 47m	$12,000,000.00	$15,008,161.00
Witching & Bitching	September 20, 2013	 Castilian	1h 50m	$8,000,000.00	
The Keeper of Lost Causes	October 10, 2013	 Danish	1h 40m		
The Reluctant Fundamentalist	March 17, 2013	 English	2h 10m		$519,535.00
Hours	December 12, 2013	 English	1h 37m	$4,000,000.00	
Fright Night 2: New Blood	October  1, 2013	 English	1h 39m	$8,000,000.00	
Ninja: Shadow of a Tear	December 31, 2013	 English	1h 35m		
Wolf Creek 2	April 17, 2014	 English	1h 46m	$8,000,000.00	$9,630,444.00
Austenland	August 16, 2013	 English	1h 37m	$4,900,000.00	$2,159,041.00
Pawn Shop Chronicles	July 12, 2013	 English	1h 47m	$5,000,000.00	
Ida	May  2, 2014	 Polish	1h 22m	$2,159,280.00	$15,298,355.00
Hansel & Gretel	January  7, 2013	 English	1h 30m	$135,000.00	
Justice League: The Flashpoint Paradox	July 28, 2013	 English	1h 15m	$3,500,000.00	
Admission	March 22, 2013	 English	1h 47m	$13,000,000.00	$18,000,000.00
The Mafia Kills Only in Summer	March  6, 2015	 Italian	1h 30m		
Gimme Shelter	October 17, 2013	 English	1h 41m	$7,500,000.00	$1,359,910.00
The Best Offer	January  1, 2014	 English	2h 4m	$13,500,000.00	$19,255,873.00
Free Fall	September  8, 2013	 German	1h 40m		
Bad Words	March 14, 2014	 English	1h 29m	$9,500,000.00	$7,800,000.00
Romeo & Juliet	October  7, 2013	 English	1h 58m		$1,162,635.00
Ghost in the Shell Arise - Border 1: Ghost Pain	June 22, 2013	 Japanese	0h 58m		
Ghost in the Shell Arise - Border 1: Ghost Pain	June 22, 2013	 Japanese	0h 58m		
Little Witch Academia	March  2, 2013	 Japanese	0h 26m	$480,000.00	
Crush	April  9, 2013	 English	1h 34m		
The Last Days	March 27, 2013	 Castilian	1h 40m		
Filth	May 30, 2014	 English	1h 37m	$5,000,000.00	$9,114,264.00
Behind the Candelabra	May 26, 2013	 English	1h 58m	$23,000,000.00	$15,600,000.00
Hell Baby	September  6, 2013	 English	1h 38m	$2,500,000.00	
Drinking Buddies	August 23, 2013	 English	1h 30m		$343,341.00
I Give It a Year	February 10, 2013	 English	1h 37m		$28,234,657.00
The Spectacular Now	January 18, 2013	 English	1h 35m	$2,500,000.00	$6,854,611.00
The Colony	September 20, 2013	 English	1h 35m	$16,000,000.00	
A Single Shot	September 20, 2013	 English	1h 56m		$18,642.00
Terms and Conditions May Apply	July 12, 2013	 English	1h 19m		
Starred Up	August 30, 2013	 English	1h 46m		$54,915.00
12 Rounds 2: Reloaded	June  3, 2013	 English	1h 35m	$4,000,000.00	
The Physician	December 25, 2013	 English	2h 35m	$32,000,000.00	$57,284,237.00
Zulu	December  4, 2013	 English	1h 50m	$16,000,000.00	
Welcome to the Jungle	April 27, 2013	 English	1h 35m	$3,500,000.00	
Like Father, Like Son	January 17, 2014	 Japanese	2h 1m		$19,978,961.00
Ain't Them Bodies Saints	January 19, 2013	 English	1h 36m		$1,031,243.00
Getaway	August 29, 2013	 English	1h 30m	$18,000,000.00	$10,501,938.00
Getaway	August 29, 2013	 English	1h 30m	$18,000,000.00	$10,501,938.00
No One Lives	May 10, 2013	 English	1h 26m	$2,900,000.00	$74,918.00
After the Dark	February  7, 2014	 English	1h 47m		
Man of Tai Chi	November  1, 2013	 English	1h 45m	$25,000,000.00	$2,054,941.00
The Volcano	October 10, 2013	 French	1h 32m		
The Wizards Return: Alex vs. Alex	March 15, 2013	 English	1h 0m		
Mindscape	April  5, 2014	 English	1h 39m	$4,357,373.00	$1,200,000.00
Siberian Education	February 27, 2013	 Italian	1h 50m		
Love and Honor	March 22, 2013	 English	1h 32m		$19,684.00
+1	September 20, 2013	 English	1h 35m		
Walking with Dinosaurs	December 20, 2013	 English	1h 27m	$80,000,000.00	$126,546,518.00
Fruitvale Station	January 19, 2013	 English	1h 25m		$17,385,830.00
Why Don't You Play in Hell?	September 19, 2013	 Japanese	2h 6m		
Barbie in the Pink Shoes	February 25, 2013	 English	1h 15m		
The Returned	February 14, 2014	 English	1h 38m		
Willow Creek	June  6, 2013	 English	1h 20m		
Underdogs	August 14, 2015	 Castilian	1h 46m	$22,000,000.00	$24,000,000.00
Fading Gigolo	April 18, 2014	 English	1h 30m		$2,681,345.00
Get a Horse!	June 11, 2013	 English	0h 6m		
Tangerines	December  3, 2013	 Estonian	1h 27m		
Dom Hemingway	April  3, 2014	 English	1h 33m		$523,511.00
Dom Hemingway	April  3, 2014	 English	1h 33m		$523,511.00
Particle Fever	September 29, 2013	 English	1h 39m		
Doctor Who: The Day of the Doctor	November 23, 2013	 English	1h 17m		
Upstream Color	April  5, 2013	 English	1h 36m	$100,000.00	$444,098.00
Pawn	April 23, 2013	 English	1h 28m	$83,000,000.00	
The Congress	July 24, 2014	 English	2h 2m		$455,815.00
A Promise	April 18, 2014	 English	1h 34m		
Barbie: The Pearl Princess	February  1, 2014	 English	1h 13m		
Thunder and the House of Magic	July 25, 2014	 English	1h 25m	$34,000,000.00	
Jug Face	August  9, 2013	 English	1h 21m		
Assault on Wall Street	June 30, 2013	 English	1h 39m		
Battlestar Galactica: Blood & Chrome	February 10, 2013	 English	1h 31m		
Madly Madagascar	January 29, 2013	 English	0h 22m		
Metallica: Through the Never	September 27, 2013	 English	1h 33m	$18,000,000.00	$7,972,967.00
Cheap Thrills	March  8, 2013	 English	1h 25m		
The Hunters	October 25, 2013	 English	1h 25m		
Third Person	December  1, 2013	 English	2h 17m	$28,000,000.00	$1,749,201.00
The Lifeguard	August 30, 2013	 English	1h 38m		
Instructions Not Included	August 30, 2013	 Castilian	1h 55m	$5,500,000.00	$99,067,206.00
3096 Days	October 28, 2013	 German	1h 51m		
Rapture-Palooza	June  7, 2013	 English	1h 25m		
Rapture-Palooza	June  7, 2013	 English	1h 25m		
Still Life	May 18, 2014	 English	1h 32m		
Superman: Unbound	May  6, 2013	 English	1h 15m		$2,915,767.00
The Unlikely Prince	February  9, 2013	 Italian	1h 37m		
The Last Days on Mars	December  6, 2013	 English	1h 38m		$24,084.00
To the Wonder	April 12, 2013	 English	1h 52m		$587,615.00
One Chance	August 29, 2014	 English	1h 43m		$10,900,434.00
13 Eerie	April  2, 2013	 English	1h 27m	$3.00	$21.00
Stranger by the Lake	December 20, 2013	 French	1h 37m		
We Are The Nobles	October 21, 2013	 Castilian	1h 48m	$2,000,000.00	
Phil Spector	March 24, 2013	 English	1h 32m		
Kevin Hart: Let Me Explain	June 22, 2013	 English	1h 14m		$32,230,907.00
Words and Pictures	May 23, 2014	 English	1h 51m		$3,346,257.00
All Cheerleaders Die	October 31, 2013	 English	1h 29m		
Jimmy P.	February 14, 2014	 English	1h 57m	$10,000,000.00	$30,283.00
Out of the Blue	March 14, 2013	 Italian			
9 Month Stretch	November 11, 2013	 French	1h 22m		
The Harvest	October 19, 2013	 English	1h 44m		
Bullet to the Head	February  1, 2013	 English	1h 32m	$55,000,000.00	$9,489,829.00
Thesis on a Homicide	January 17, 2013	 Castilian	1h 42m		
R100	January 18, 2014	 Japanese	1h 40m	$5,500,000.00	
R100	January 18, 2014	 Japanese	1h 40m	$5,500,000.00	
Welcome Mr. President!	March 19, 2013	 Italian	1h 40m		$9,500,000.00
Charlie Countryman	November 15, 2013	 English	1h 48m		$11,650.00
A.C.O.D.	October  4, 2013	 English	1h 28m		$175,705.00
11.6	April  3, 2013	 French	1h 42m		
It Boy	June  6, 2013	 French	1h 32m		
The Pirate Bay: Away from Keyboard	February  8, 2013	 English	1h 22m		$34,664.00
A Case of You	April 21, 2013	 English	1h 31m		$4,187.00
An Adventure in Space and Time	November 22, 2013	 English	1h 23m		
The Kingdom of Dreams and Madness	November 16, 2013	 Japanese	1h 58m		
One Direction: This Is Us	August 30, 2013	 English	1h 32m	$10,000,000.00	
The Invisible Woman	December 25, 2013	 English	1h 51m		$1,234,254.00
Möbius	April 22, 2013	 French	1h 43m		
The Trials of Cate McCall	April  5, 2014	 English	1h 29m	$7,000,000.00	
Very Good Girls	January 22, 2013	 English	1h 31m		
Teen Beach Movie	July 19, 2013	 English	1h 50m		
Frequencies	May 23, 2014	 English	1h 45m		
Mood Indigo	October 10, 2013	 French	2h 11m		
Hammer of the Gods	July  5, 2013	 English	1h 39m		$641.00
The Numbers Station	April 26, 2013	 English	1h 30m	$10,000,000.00	
Open Grave	January  2, 2014	 English	1h 42m		
Open Grave	January  2, 2014	 English	1h 42m		
Grudge Match	December 25, 2013	 English	1h 53m	$40,000,000.00	$44,907,260.00
Prince Avalanche	January 20, 2013	 English	1h 34m	$725,000.00	
It's a Disaster	June 20, 2012	 English	1h 26m		
Bounty Killer	September  6, 2013	 English	1h 33m		
Paulette	October  4, 2012	 French	1h 27m		$29,494.00
Escape from Tomorrow	October 11, 2013	 English	1h 30m	$650.00	
Alan Partridge: Alpha Papa	February 27, 2014	 English	1h 30m	$4,000,000.00	$9,800,000.00
In a World...	August  9, 2013	 English	1h 33m	$1,000,000.00	$2,963,902.00
Hatchet III	June 14, 2013	 English	1h 29m		
Minions: Training Wheels	December 10, 2013	 English	0h 4m		
Evidence	July 19, 2013	 English	1h 33m		
The East	May 31, 2013	 English	1h 56m	$6,500,000.00	$2,401,510.00
What Maisie Knew	May  2, 2013	 English	1h 33m	$6,000,000.00	$1,066,471.00
Tom at the Farm	November 10, 2013	 French	1h 45m		
Grand Piano	March  7, 2014	 English	1h 30m		
Crazy Me	February  2, 2013	 Italian	1h 34m		
Justin and the Knights of Valour	November 26, 2013	 English	1h 30m	$22,000,000.00	
Hansel and Gretel Get Baked	February 19, 2013	 English	1h 26m	$4,500,000.00	
The Immigrant	October  6, 2013	 English	1h 57m	$16,000,000.00	$5,867,686.00
Scenic Route	August 23, 2013	 English	1h 25m		
Scenic Route	August 23, 2013	 English	1h 25m		
In Secret	February 21, 2014	 English	1h 41m		
Colpi di fortuna	December 21, 2013	 Italian			
Metro	March  3, 2013	 Russian	2h 10m	$13,000,000.00	$4,463,059.00
Sunshine on Leith	October  3, 2013	 English	1h 40m		
Banshee Chapter	November  6, 2013	 English	1h 27m	$950,000.00	
Blackfish	January 19, 2013	 English	1h 23m		$2,063,312.00
The Grandmaster	August 30, 2013	 Chinese	2h 10m	$3,860,000.00	$64,076,736.00
The Right Kind of Wrong	February  6, 2014	 English	1h 37m		
The Fifth Estate	October 18, 2013	 English	2h 8m	$28,000,000.00	$8,555,008.00
The Blue Umbrella	June 20, 2013	 English	0h 7m		
Louis C.K.: Oh My God	April 13, 2013	 English	0h 58m		
The Selfish Giant	December 20, 2013	 English	1h 31m		$12,189.00
Afternoon Delight	August 30, 2013	 English	1h 35m		
White as Milk, Red as Blood	April  2, 2013	 Italian	1h 34m		
Boule & Bill	February 27, 2013	 French	1h 22m	$22,160,664.00	
Clear History	August 10, 2013	 English	1h 40m		
Jappeloup	March 13, 2013	 French	2h 10m		
Jodorowsky's Dune	August 30, 2013	 English	1h 30m		
Aspirante vedovo	October 10, 2013	 Italian	1h 24m		
20 Feet from Stardom	January 17, 2013	 English	1h 29m	$1,000,000.00	$5,892,466.00
20 Feet from Stardom	January 17, 2013	 English	1h 29m	$1,000,000.00	$5,892,466.00
Contracted	November 22, 2013	 English	1h 18m		$4,105.00
Miss Violence	June  7, 2013	 Greek	1h 39m		
The Marine 3: Homefront	March  5, 2013	 English	1h 26m		
Lovestruck: The Musical	April 21, 2013	 English	1h 23m		
Jimi: All Is by My Side	May 31, 2014	 English	1h 58m		$340,911.00
Khumba	December  7, 2013	 English	1h 25m	$20,000,000.00	$27,187,375.00
Wrong Cops	December 18, 2013	 English	1h 23m		
Amiche da morire	March  7, 2013	 English			
The Package	February 14, 2013	 English	1h 33m		$1,469.00
Miracle in Cell No. 7	January 23, 2013	 Korean	2h 7m		
Cold Comes the Night	September 20, 2013	 English	1h 30m		$16,971.00
Big Bad Wolves	April 21, 2013	 Hebrew	1h 50m		$33,232.00
The Brats	May  5, 2013	 French	1h 35m		
Barbie: Mariposa and The Fairy Princess	August 27, 2013	 English	1h 15m		
Another Me	August 22, 2014	 English	1h 26m		
Minuscule: Valley of the Lost Ants	January 30, 2014	 French	1h 29m	$19,700,000.00	$30,000,000.00
Iron Man: Rise of Technovore	May  3, 2013	 Japanese	1h 28m		
Fonzy	October 30, 2013	 French	1h 43m		
Secretly, Greatly	June  5, 2013	 Korean	2h 4m		
Stray Dogs	September 12, 2014	 Chinese	2h 18m		
Stray Dogs	September 12, 2014	 Chinese	2h 18m		
Drift	August  2, 2013	 English	1h 53m	$11,000,000.00	
Magic Magic	July 26, 2013	 English	1h 37m		
Doctor Who: The Time of the Doctor	December 25, 2013	 English	1h 0m		
Vive la France	February 19, 2013	 French	1h 35m		
Un fantastico via vai	December 12, 2013	 Italian	1h 35m		
Borgman	May  9, 2014	 Flemish	1h 53m		
The Railway Man	April 11, 2014	 English	1h 56m	$18,000,000.00	$22,309,223.00
In Fear	March  7, 2014	 English	1h 25m		
Special ID	March  7, 2014	 Cantonese	1h 38m		$12,666.00
Wer	August 19, 2014	 English	1h 29m		
Penthouse North	January  4, 2014	 English	1h 30m		
The Grand Seduction	May 30, 2014	 English	1h 52m	$12,700,000.00	$3,430,018.00
Age of Uprising: The Legend of Michael Kohlhaas	October 16, 2013	 French	2h 2m		
Beneath	October  8, 2013	 English	1h 29m	$89.00	
Chennai Express	August  8, 2013	 Hindi	2h 21m	$18,000,000.00	$62,000,000.00
Bad Milo	August 29, 2013	 English	1h 25m		$19,613.00
The Gilded Cage	April 19, 2013	 French	1h 30m	$7,000,000.00	
Me, Myself and Mum	December 22, 2013	 French	1h 25m	$10,735,974.00	
Haunter	October 25, 2013	 English	1h 37m		
Saving Santa	November  5, 2013	 English	1h 23m	$7,500,000.00	
Saving Santa	November  5, 2013	 English	1h 23m	$7,500,000.00	
Blue Is the Warmest Color	October 25, 2013	 French	3h 0m	$4,300,000.00	$10,165,694.00
Pete's Christmas	November 16, 2013	 English	1h 26m		
Steins;Gate: The Movie − Load Region of Déjà Vu	April 20, 2013	 Japanese	1h 30m		
The Borderlands	August 24, 2013	 English	1h 29m		
The Damned	August 29, 2014	 English	1h 27m	$3,000,000.00	$5,758,519.00
The Truth About Emanuel	January 10, 2014	 English	1h 36m		
Dhoom 3	December 20, 2013	 Hindi	2h 52m	$19,500,000.00	$91,000,000.00
The French Minister	November  6, 2013	 English	1h 53m	$5,112,027.00	
The Square	October 25, 2013	 Arabic	1h 28m		
Goliyon Ki Raasleela Ram-Leela	November 15, 2013	 Hindi	2h 30m		$32,000,000.00
Family Weekend	March 28, 2013	 English	1h 45m		
Phantom	March  1, 2013	 English	1h 39m	$10,000,000.00	$1,034,589.00
Love Is in the Air	January 30, 2014	 French	1h 36m		$7,636.00
Big Ass Spider!	October 18, 2013	 English	1h 20m		
Coldwater	March 10, 2013	 English	1h 44m		
Queen	March 14, 2014	 Hindi	2h 26m	$1,900,000.00	$17,000,000.00
Whiplash	January 18, 2013	 English	0h 18m		
Enemies Closer	December 24, 2013	 English	1h 25m	$5,000,000.00	
Minions: Puppy	December 10, 2013	 English	0h 5m		
Flu	August 16, 2013	 Korean	2h 2m		
Flu	August 16, 2013	 Korean	2h 2m		
The Firefly	November 10, 2013	 Castilian	1h 28m		
Remember Sunday	April 21, 2013	 English	1h 36m		
The Haunting in Connecticut 2: Ghosts of Georgia	February  1, 2013	 English	1h 41m	$9,000,000.00	
The Berlin File	February 14, 2013	 Korean	2h 0m	$9,000,000.00	$48,965,210.00
My Mom Is a Character	June 21, 2013	 Portuguese	1h 25m		
The House at the End of Time	June 21, 2013	 Castilian	1h 41m		
I'll Follow You Down	August  5, 2014	 English	1h 33m		
The Adventurer: The Curse of the Midas Box	December  5, 2013	 English	1h 39m	$25,000,000.00	$6,399.00
The Lunchbox	February 28, 2014	 Hindi	1h 44m	$3,400,000.00	$17,240,000.00
New World	March 22, 2013	 Korean	2h 14m		
Castello Cavalcanti	November 12, 2013	 English	0h 8m		
The Last of Robin Hood	September  5, 2014	 English	1h 32m		
Till Luck Do Us Part 2	December 27, 2013	 Portuguese	1h 42m		
Angelique	December 20, 2013	 French	1h 53m		
American Dreams in China	May 18, 2013	 Chinese	1h 52m		$88,000,000.00
Swindle	August 23, 2013	 English	1h 30m		
Josephine	July  7, 2013	 French	1h 28m		
Cycling with Molière	January 16, 2013	 French	1h 44m		$10,759,874.00
Hope	October  2, 2013	 Korean	2h 2m		
Lights Out	December 30, 2013	 Swedish	0h 3m		
Lights Out	December 30, 2013	 Swedish	0h 3m		
Justin Bieber's Believe	December 25, 2013	 English	1h 32m		
Frankenstein's Army	July 26, 2013	 English	1h 24m		
Krrish 3	November  1, 2013	 Hindi	2h 32m	$6,218,100.00	
The Terror Live	July 31, 2013	 Korean	1h 37m		
The Protector 2	May  2, 2014	 Thai	1h 44m		$3,302,463.00
The 7th Floor	September  5, 2013	 Castilian	1h 31m		
A Touch of Sin	October  4, 2013	 Chinese	2h 11m		$154,120.00
Ammutta muddica al cinema	October 16, 2013	 Italian			
Richard Pryor: Omit the Logic	April 23, 2013	 English	1h 23m		
At Middleton	May 17, 2013	 English	1h 41m	$2,500,000.00	
Dead in Tombstone	October 25, 2013	 English	1h 40m	$5,200,000.00	
Kokowääh 2	January 27, 2013	 German	2h 0m		
Generation Iron	September 20, 2013	 English	1h 46m		
Baggage Claim	September 27, 2013	 English	1h 36m	$8,500,000.00	$22,456,509.00
Bhaag Milkha Bhaag	July 12, 2013	 Hindi	3h 6m	$4,600,000.00	$25,000,000.00
Gagarin: First in Space	June  6, 2013	 Russian	1h 48m	$7,000,000.00	
Schlussmacher	January 10, 2013	 German	1h 50m		
Cold Eyes	July  3, 2013	 Korean	1h 59m		
The ABCs of Death	September 15, 2012	 English	2h 3m		$21,660.00
Burning Blue	June 29, 2013	 English	1h 36m		
Burning Blue	June 29, 2013	 English	1h 36m		
Green Street Hooligans: Underground	September  5, 2014	 English	1h 30m		
Raja Rani	September 27, 2013	 Tamil	2h 40m		
Special 26	February  8, 2013	 Hindi	2h 24m	$7,100,000.00	$18,000,000.00
Gloria	January 23, 2014	 Castilian	1h 45m		$2,107,925.00
Pixie Hollow Bake Off	October 20, 2013	 English	0h 6m		
Butcher Boys	September  6, 2013	 English	1h 26m		
Return to Nim's Island	March 15, 2013	 English	1h 30m		
Sweetwater	January 24, 2013	 English	1h 35m	$7,000,000.00	
All Hallows' Eve	October 29, 2013	 English	1h 22m		
Mr. Morgan's Last Love	November  1, 2013	 English	1h 56m	$8,200,000.00	
16 Ans ou Presque	December 18, 2013	 French	1h 28m		
Night Train to Lisbon	December  6, 2013	 English	1h 51m	$7,700,000.00	
Hwayi: A Monster Boy	October  9, 2013	 Korean	2h 5m		
Patrick	March 14, 2014	 English	1h 36m		
Three Many Weddings	December  5, 2013	 Castilian	1h 34m		
500 MPH Storm	February 28, 2013	 English	1h 30m	$3,000,000.00	
Crystal Fairy & the Magical Cactus	July 12, 2013	 English	1h 38m		
The Unbelievers	December 13, 2013	 English	1h 17m		
Fuga di cervelli	November 21, 2013	 Italian			
Young Mother	July 31, 2013	 Korean	1h 23m		
Young Mother	July 31, 2013	 Korean	1h 23m		
Legends of Oz: Dorothy's Return	May  9, 2014	 English	1h 28m	$70,000,000.00	$18,662,027.00
Rigor Mortis	September  6, 2013	 Cantonese	1h 45m		$7,865.00
Goodbye World	June 15, 2013	 English	1h 41m		
Pleasure or Pain	October 22, 2013	 English	1h 42m		
Pokémon the Movie: Genesect and the Legend Awakened	October 19, 2013	 Japanese	1h 12m		$32,300,000.00
Last Passenger	April 25, 2014	 English	1h 36m		
Ragnarok	November 11, 2013	 Norwegian	2h 0m	$6,500,000.00	$3,721,345.00
Inequality for All	January 19, 2013	 English	1h 28m		
Ghost in the Shell Arise - Border 2: Ghost Whispers	November 29, 2013	 Japanese	0h 50m		
Zombie Night	October  8, 2013	 English	1h 28m	$1,000,000.00	
The Golden Dream	September  4, 2015	 Castilian	1h 50m		
Hateship Loveship	April 11, 2014	 English	1h 43m		
The Caged Flower	November 23, 2013	 Japanese	1h 34m		
Dirty Wars	January 18, 2013	 English	1h 27m		
Meu Passado me Condena	October 25, 2013	 Portuguese	1h 42m		
Paris or Perish	July 15, 2013	 French	1h 35m		
My Little Pony: Equestria Girls	June 15, 2013	 English	1h 12m		
Hunter × Hunter: Phantom Rouge	January 12, 2013	 Japanese	1h 37m		
CBGB	October 11, 2013	 English	1h 41m	$5,000,000.00	$40,400.00
The Fifth Wheel	November 14, 2013	 Italian	1h 53m		
